#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,4,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,3,count_translations,https://beispiel.de/de/
,,5,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,200,organic_traffic,https://beispiel.de/de/china/
,,5,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,250,organic_traffic,https://beispiel.de/de/china/
,,5,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,180,organic_traffic,https://beispiel.de/de/china/
,,5,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,17,organic_traffic,https://beispiel.de/de/china/
,,6,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,81,loading_times,https://beispiel.de/de/china/
,,6,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,81,loading_times,https://beispiel.de/de/china/
,,6,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,81,loading_times,https://beispiel.de/de/china/
,,6,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,81,loading_times,https://beispiel.de/de/china/
,,7,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,12,loading_times_external,https://beispiel.de/de/china/
,,7,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,12,loading_times_external,https://beispiel.de/de/china/
,,7,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,12,loading_times_external,https://beispiel.de/de/china/
,,7,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,12,loading_times_external,https://beispiel.de/de/china/
,,8,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,69,loading_times_internal,https://beispiel.de/de/china/
,,8,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,69,loading_times_internal,https://beispiel.de/de/china/
,,8,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,69,loading_times_internal,https://beispiel.de/de/china/
,,8,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,69,loading_times_internal,https://beispiel.de/de/china/
,,9,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,3,count_translations,https://beispiel.de/de/china/
,,9,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,3,count_translations,https://beispiel.de/de/china/
,,9,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,3,count_translations,https://beispiel.de/de/china/
,,9,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,3,count_translations,https://beispiel.de/de/china/
,,10,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/
,,10,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/
,,10,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/
,,10,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/
,,11,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,87,loading_times,https://beispiel.de/de/entdecken/
,,11,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,87,loading_times,https://beispiel.de/de/entdecken/
,,11,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,87,loading_times,https://beispiel.de/de/entdecken/
,,11,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,87,loading_times,https://beispiel.de/de/entdecken/
,,12,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,8,loading_times_external,https://beispiel.de/de/entdecken/
,,12,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,8,loading_times_external,https://beispiel.de/de/entdecken/
,,12,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,8,loading_times_external,https://beispiel.de/de/entdecken/
,,12,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,8,loading_times_external,https://beispiel.de/de/entdecken/
,,13,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,79,loading_times_internal,https://beispiel.de/de/entdecken/
,,13,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,79,loading_times_internal,https://beispiel.de/de/entdecken/
,,13,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,79,loading_times_internal,https://beispiel.de/de/entdecken/
,,13,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,79,loading_times_internal,https://beispiel.de/de/entdecken/
,,14,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,3,count_translations,https://beispiel.de/de/entdecken/
,,14,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,3,count_translations,https://beispiel.de/de/entdecken/
,,14,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,3,count_translations,https://beispiel.de/de/entdecken/
,,14,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,3,count_translations,https://beispiel.de/de/entdecken/
,,20,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/branchen/
,,20,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/branchen/
,,20,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/branchen/
,,20,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,2,organic_traffic,https://beispiel.de/de/entdecken/branchen/
,,21,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,111,loading_times,https://beispiel.de/de/entdecken/branchen/
,,21,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,111,loading_times,https://beispiel.de/de/entdecken/branchen/
,,21,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,111,loading_times,https://beispiel.de/de/entdecken/branchen/
,,21,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,111,loading_times,https://beispiel.de/de/entdecken/branchen/
,,22,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,7,loading_times_external,https://beispiel.de/de/entdecken/branchen/
,,22,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,7,loading_times_external,https://beispiel.de/de/entdecken/branchen/
,,22,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,7,loading_times_external,https://beispiel.de/de/entdecken/branchen/
,,22,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,7,loading_times_external,https://beispiel.de/de/entdecken/branchen/
,,23,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-04-30T23:00:00Z,104,loading_times_internal,https://beispiel.de/de/entdecken/branchen/
,,23,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-07T23:00:00Z,104,loading_times_internal,https://beispiel.de/de/entdecken/branchen/
,,23,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-14T23:00:00Z,104,loading_times_internal,https://beispiel.de/de/entdecken/branchen/
,,23,2023-04-26T09:06:44.8406482Z,2023-05-26T09:06:44.8406482Z,2023-05-21T23:00:00Z,104,loading_times_internal,https://beispiel.de/de/entdecken/branchen/
